Iteration,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
24,NetBIOS,0.995955,0.994958,0.989967,0.992456,1624,3,6,592
24,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
24,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
24,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
25,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
25,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
25,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
25,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
25,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
25,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
26,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
26,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
26,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
26,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
26,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
26,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
27,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
27,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
27,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
27,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
27,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
27,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
28,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
28,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
28,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
28,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
28,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
28,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
29,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
29,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
29,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
29,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
29,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
29,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
30,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
30,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
30,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
30,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
30,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
30,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
31,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
31,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
31,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
31,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
31,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
31,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
32,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
32,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
32,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
32,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
32,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
32,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
33,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
33,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
33,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
33,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
33,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
33,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
34,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
34,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
34,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
34,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
34,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
34,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
35,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
35,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
35,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
35,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
35,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
35,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
36,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
36,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
36,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
36,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
36,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
36,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
37,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
37,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
37,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
37,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
37,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
37,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
38,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
38,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
38,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
38,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
38,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
38,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
39,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
39,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
39,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
39,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
39,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
39,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
40,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
40,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
40,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
40,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
40,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
40,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
41,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
41,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
41,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
41,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
41,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
41,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
42,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
42,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
42,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
42,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
42,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
42,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
43,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
43,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
43,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
43,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
43,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
43,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
44,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
44,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
44,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
44,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
44,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
44,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
45,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
45,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
45,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
45,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
45,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
45,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
46,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
46,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
46,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
46,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
46,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
46,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
47,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
47,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
47,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
47,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
47,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
47,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
48,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
48,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
48,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
48,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
48,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
48,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
49,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
49,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
49,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
49,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
49,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
49,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
50,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
50,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
50,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
50,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
50,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
50,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
51,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
51,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
51,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
51,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
51,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
51,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
52,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
52,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
52,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
52,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
52,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
52,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
53,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
53,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
53,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
53,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
53,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
53,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
54,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
54,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
54,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
54,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
54,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
54,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
55,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
55,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
55,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
55,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
55,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
55,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
56,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
56,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
56,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
56,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
56,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
56,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
57,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
57,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
57,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
57,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
57,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
57,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
58,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
58,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
58,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
58,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
58,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
58,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
59,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
59,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
59,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
59,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
59,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
59,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
60,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
60,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
60,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
60,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
60,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
60,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
61,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
61,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
61,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
61,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
61,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
61,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
62,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
62,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
62,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
62,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
62,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
62,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
63,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
63,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
63,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
63,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
63,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
63,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
64,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
64,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
64,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
64,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
64,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
64,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
65,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
65,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
