Iteration,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
24,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
24,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
25,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
25,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
25,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
25,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
25,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
25,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
26,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
26,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
26,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
26,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
26,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
26,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
27,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
27,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
27,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
27,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
27,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
27,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
28,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
28,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
28,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
28,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
28,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
28,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
29,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
29,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
29,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
29,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
29,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
29,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
30,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
30,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
30,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
30,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
30,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
30,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
31,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
31,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
31,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
31,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
31,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
31,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
32,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
32,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
32,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
32,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
32,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
32,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
33,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
33,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
33,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
33,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
33,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
33,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
34,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
34,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
34,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
34,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
34,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
34,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
35,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
35,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
35,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
35,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
35,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
35,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
36,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
36,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
36,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
36,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
36,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
36,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
37,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
37,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
37,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
37,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
37,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
37,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
38,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
38,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
38,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
38,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
38,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
38,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
39,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
39,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
39,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
39,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
39,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
39,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
40,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
40,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
40,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
40,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
40,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
40,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
41,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
41,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
41,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
41,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
41,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
41,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
42,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
42,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
42,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
42,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
42,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
42,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
43,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
43,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
43,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
43,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
43,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
43,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
44,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
44,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
44,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
44,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
44,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
44,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
45,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
45,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
45,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
45,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
45,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
45,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
46,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
46,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
46,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
46,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
46,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
46,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
47,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
47,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
47,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
47,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
47,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
47,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
48,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
48,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
48,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
48,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
48,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
48,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
49,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
49,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
49,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
49,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
49,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
49,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
50,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
50,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
50,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
50,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
50,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
50,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
51,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
51,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
51,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
51,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
51,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
51,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
52,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
52,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
52,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
52,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
52,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
52,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
53,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
53,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
53,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
53,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
53,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
53,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
54,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
54,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
54,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
54,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
54,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
54,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
55,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
55,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
55,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
55,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
55,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
55,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
56,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
56,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
56,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
56,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
56,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
56,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
57,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
57,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
57,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
57,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
57,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
57,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
58,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
58,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
58,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
58,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
58,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
58,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
59,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
59,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
59,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
59,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
59,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
59,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
60,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
60,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
60,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
60,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
60,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
60,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
61,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
61,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
61,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
61,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
61,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
61,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
62,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
62,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
62,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
62,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
62,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
62,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
63,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
63,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
63,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
63,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
63,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
63,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
64,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
64,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
64,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
64,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
64,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
